wavenumber,2.5kGy_sn48_sample1,2.5kGy_sn48_sample2,2.5kGy_sn48_sample3,2.5kGy_sn48_sample4,2.5kGy_sn48_sample5,2.5kGy_sn48_sample6,2.5kGy_sn48_sample7,2.5kGy_sn48_sample8,2.5kGy_sn48_sample9
1149.57604,0.01646,0.0142,0.01517,0.01346,0.07713,0.01364,0.0148,0.06568,0.0158
1147.51587,0.01726,0.01498,0.01634,0.01441,0.07827,0.01471,0.01574,0.06657,0.01677
1145.4557,0.01823,0.01585,0.01722,0.0154,0.07948,0.01585,0.01655,0.06759,0.01783
1143.39552,0.01918,0.01678,0.01768,0.01627,0.08061,0.01682,0.01748,0.06858,0.0189
1141.33535,0.01998,0.01759,0.01823,0.0169,0.08156,0.01747,0.01851,0.06933,0.0198
1139.27518,0.02067,0.01814,0.01897,0.01739,0.08233,0.01799,0.01929,0.06997,0.02045
1137.21501,0.02125,0.01869,0.01964,0.01798,0.08291,0.01857,0.0198,0.07066,0.02091
1135.15484,0.02188,0.01941,0.02033,0.01859,0.08344,0.01906,0.02035,0.07129,0.02149
1133.09466,0.02264,0.02016,0.02105,0.01908,0.08419,0.01952,0.02104,0.07193,0.0221
1131.03449,0.02334,0.02089,0.02181,0.01962,0.08516,0.02023,0.02183,0.07273,0.02264
1128.97432,0.02402,0.02157,0.02271,0.02038,0.08621,0.02112,0.02277,0.07358,0.02346
1126.91415,0.02504,0.02222,0.02371,0.02128,0.08726,0.02202,0.02376,0.07448,0.02457
1124.85398,0.02644,0.02298,0.02475,0.02221,0.08825,0.02297,0.02469,0.07548,0.02565
1122.7938,0.02774,0.0239,0.02586,0.02311,0.08936,0.0239,0.02572,0.07654,0.02665
1120.73363,0.02874,0.02494,0.02696,0.02408,0.09074,0.02471,0.02684,0.07756,0.0278
1118.67346,0.02985,0.02617,0.02799,0.02515,0.09214,0.02559,0.02801,0.07852,0.02901
1116.61329,0.03118,0.02755,0.029,0.02607,0.09333,0.02655,0.02924,0.07949,0.03006
1114.55312,0.03241,0.02876,0.02994,0.02687,0.09446,0.02741,0.03035,0.08051,0.03111
1112.49294,0.03335,0.0296,0.03085,0.02771,0.09563,0.02827,0.03116,0.08147,0.03232
1110.43277,0.03414,0.03029,0.03182,0.02859,0.09678,0.0292,0.03185,0.08234,0.03344
1108.3726,0.03498,0.03122,0.03279,0.02939,0.09788,0.03007,0.03265,0.08322,0.0343
1106.31243,0.03603,0.03236,0.03375,0.03008,0.09888,0.03081,0.03357,0.08421,0.03511
1104.25225,0.03727,0.03352,0.03488,0.03088,0.09992,0.03163,0.03462,0.08528,0.03616
1102.19208,0.03856,0.03474,0.03616,0.03196,0.10128,0.03287,0.03588,0.08642,0.0375
1100.13191,0.04005,0.03598,0.03762,0.03334,0.10294,0.03436,0.03742,0.08771,0.039
1098.07174,0.04175,0.03726,0.03921,0.03476,0.10473,0.03576,0.0392,0.08918,0.04054
1096.01157,0.04342,0.03884,0.04082,0.03608,0.10651,0.03722,0.041,0.09087,0.04213
1093.95139,0.04519,0.04069,0.04242,0.03749,0.10821,0.03893,0.04265,0.09259,0.04388
